Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
rick-52.csv.txt,1,124,61.30,95.46,34.13,71.22,4.43,8.87,82.26,50.00,20.97,12.90,3.23,1.61,6.45,0.00,1.61,8.06,8.87,10.48,9.68,3.23,0.81,1.61,17.74,1.61,1.61,5.65,0.81,1.61,5.65,4.03,1.61,0.00,0.81,0.00,15.32,1.61,0.00,0.00,0.81,4.84,2.42,0.81,0.00,0.81,0.00,0.81,2.42,0.00,0.81,1.61,1.61,0.00,0.00,0.00,0.81,8.06,3.23,1.61,2.42,0.81,0.00,0.81,15.32,0.00,12.10,0.81,4.84,6.45,1.61,0.81,0.00,0.00,0.81,0.00,8.87,0.81,0.81,1.61,5.65,0.00,41.94,10.48,8.06,0.00,0.00,4.03,8.87,0.81,4.03,5.65,0.00,0.00
rick-42.csv.txt,1,217,45.37,89.31,68.92,60.72,5.71,4.61,86.64,51.15,20.74,13.82,3.23,1.84,5.53,0.46,2.76,6.91,5.99,11.06,8.76,5.99,1.38,2.76,20.28,2.76,0.46,0.92,0.92,3.23,7.37,4.61,2.76,0.46,0.46,0.00,14.29,0.00,0.00,0.00,0.46,8.29,2.76,0.00,0.46,0.92,1.84,2.30,1.38,0.46,0.00,0.46,1.38,1.38,0.00,0.00,0.00,11.98,2.76,0.46,5.53,4.15,0.92,2.76,16.13,1.38,16.59,3.23,11.52,2.30,0.92,0.00,0.00,0.00,0.46,0.00,7.83,0.92,1.38,2.30,1.84,1.38,41.01,13.36,14.29,0.00,0.00,0.46,5.53,0.46,0.00,6.91,0.00,0.00
rick-183.csv.txt,1,141,33.41,78.24,5.40,15.75,5.04,12.77,86.52,51.06,22.70,10.64,2.13,4.26,1.42,2.84,0.00,12.06,5.67,10.64,9.93,3.55,4.26,2.84,17.73,3.55,0.00,3.55,3.55,0.00,3.55,1.42,2.13,0.00,2.13,0.00,10.64,0.00,0.00,0.00,2.84,7.80,2.84,0.71,1.42,0.71,0.71,2.13,0.71,0.00,0.71,0.00,4.96,4.96,0.00,0.00,0.00,10.64,4.26,0.71,4.96,0.71,0.00,0.00,17.73,1.42,8.51,2.13,6.38,0.00,1.42,0.00,0.00,0.00,5.67,0.00,5.67,1.42,0.00,1.42,2.84,0.00,41.84,11.35,9.93,0.00,0.00,3.55,5.67,0.00,0.00,11.35,0.00,0.00
rick-193.csv.txt,1,186,34.99,93.37,13.99,35.14,7.44,7.53,94.62,56.45,22.58,16.67,3.76,3.76,5.38,2.69,1.08,5.91,6.99,11.29,9.14,5.38,3.76,3.76,20.97,4.84,2.69,1.61,2.69,3.76,9.14,4.84,4.30,0.00,2.69,0.54,17.74,0.00,2.69,0.00,3.76,12.90,2.69,1.08,2.15,2.15,1.61,3.76,1.61,1.08,0.00,0.54,1.08,0.00,1.08,0.00,0.00,10.75,3.76,0.54,3.23,1.61,1.61,6.45,13.98,0.00,9.14,1.08,5.38,2.15,0.00,0.54,0.00,0.00,2.15,1.61,5.38,0.54,0.00,0.00,3.76,0.00,30.11,6.99,7.53,0.00,0.00,2.69,3.76,1.61,1.08,6.45,0.00,0.00
rick-29.csv.txt,1,221,5.43,86.13,57.74,42.17,6.50,12.22,92.31,54.30,29.41,20.36,8.60,1.36,8.60,1.81,0.00,9.05,1.81,9.50,13.57,3.62,4.98,3.17,28.51,5.88,2.71,2.26,0.00,2.26,9.05,4.98,4.07,0.45,1.81,0.00,18.10,0.45,0.90,0.00,2.26,19.00,4.52,2.71,2.71,3.17,3.17,4.98,2.71,0.45,1.36,0.90,2.71,0.45,0.90,0.45,0.90,9.95,2.26,1.81,1.81,3.17,2.26,1.36,23.08,1.81,8.60,1.36,4.52,2.71,0.90,0.00,0.00,0.00,0.45,0.00,4.07,0.45,0.90,2.26,0.90,0.00,35.75,12.67,8.60,0.00,0.00,1.36,1.81,0.00,0.00,11.31,0.00,0.00
rick-39.csv.txt,1,191,17.50,56.24,10.92,99.00,5.62,11.52,88.48,57.07,25.13,13.61,7.85,0.00,4.71,1.05,0.00,10.99,5.24,8.90,14.66,5.76,1.57,1.05,26.18,4.19,0.00,2.09,0.00,1.05,11.52,10.99,0.52,0.52,0.00,0.00,7.33,1.05,0.00,0.00,1.57,12.04,2.09,1.57,3.14,5.24,1.05,1.57,1.57,1.57,0.00,0.00,1.57,0.52,0.52,0.52,0.00,5.76,0.52,0.00,1.57,3.14,0.52,2.62,18.85,2.62,6.28,0.52,4.71,1.05,1.57,0.52,0.52,0.52,0.00,0.00,5.24,0.00,0.00,3.14,1.57,0.00,34.55,13.61,9.42,0.00,0.00,0.52,3.66,0.00,0.00,7.33,0.00,0.00
rick-158.csv.txt,1,196,7.29,67.69,46.05,73.42,6.32,12.76,91.33,57.65,22.96,15.31,5.61,1.02,3.57,2.04,3.06,7.65,3.57,7.65,15.82,8.16,2.55,3.06,25.00,3.06,2.04,6.12,1.53,3.06,4.59,3.57,1.02,0.00,1.02,0.00,12.76,0.00,0.51,0.00,2.55,12.24,4.08,1.02,1.53,3.57,1.53,3.06,0.51,0.51,0.00,0.00,1.02,0.51,0.51,0.00,0.00,6.12,1.02,1.02,2.55,1.53,0.00,8.67,14.29,0.00,11.22,2.55,6.63,2.55,0.51,2.55,0.00,0.00,1.53,1.53,5.61,1.02,0.00,1.02,2.55,1.02,31.63,8.67,8.67,0.00,0.00,5.61,2.55,0.00,1.02,5.10,0.00,0.00
rick-148.csv.txt,1,280,11.86,92.33,64.41,72.57,6.51,4.64,91.43,55.00,25.71,17.14,7.86,0.00,8.57,0.71,0.00,8.57,3.57,13.21,14.29,8.57,3.21,2.50,30.00,4.29,2.86,2.86,0.00,1.43,8.21,5.36,2.86,0.00,1.43,0.71,20.00,0.36,0.36,0.00,1.79,10.00,3.93,0.36,0.71,2.86,0.00,2.86,7.50,1.07,5.71,0.36,1.79,1.07,0.00,0.36,0.36,5.00,0.00,1.07,1.43,2.86,0.36,2.50,23.93,5.36,10.00,1.79,4.64,3.57,0.36,0.00,0.00,0.00,0.36,0.36,6.79,1.07,2.14,1.79,1.79,0.00,37.14,11.79,8.21,0.00,0.00,1.79,2.14,0.36,0.71,12.14,0.00,0.00
rick-90.csv.txt,1,117,12.94,86.68,58.07,14.06,4.18,7.69,92.31,52.14,28.21,19.66,8.55,3.42,5.98,1.71,0.00,8.55,1.71,10.26,12.82,4.27,3.42,0.00,23.93,5.98,1.71,3.42,3.42,0.85,5.98,2.56,3.42,0.00,3.42,0.00,14.53,0.00,0.00,0.00,1.71,6.84,1.71,0.00,0.85,3.42,0.00,1.71,1.71,0.85,0.00,0.85,3.42,1.71,0.85,0.85,0.00,10.26,3.42,2.56,3.42,1.71,0.00,0.85,22.22,1.71,12.82,2.56,5.98,4.27,0.85,0.00,0.00,0.00,5.98,0.00,8.55,2.56,0.85,0.85,3.42,0.00,43.59,10.26,7.69,0.00,0.00,5.13,8.55,1.71,1.71,8.55,0.00,0.00
rick-80.csv.txt,1,142,75.55,92.05,50.85,1.98,4.30,15.49,83.80,50.70,21.13,15.49,5.63,1.41,5.63,2.82,0.00,5.63,11.97,11.27,9.86,2.11,0.00,1.41,18.31,2.82,0.00,2.82,1.41,0.70,4.23,0.70,3.52,0.00,2.11,0.70,16.20,0.00,0.00,0.00,2.82,9.15,4.93,1.41,0.00,0.70,0.70,1.41,0.70,0.70,0.00,0.00,2.11,2.11,0.00,0.00,0.00,9.86,4.93,1.41,4.93,0.00,0.00,4.23,11.97,0.70,11.97,1.41,9.86,1.41,2.11,2.11,0.00,0.00,0.70,1.41,4.23,0.70,0.00,1.41,0.70,0.70,36.62,13.38,5.63,0.00,0.00,2.11,7.75,0.70,0.00,7.04,0.00,0.00
rick-74.csv.txt,1,81,42.88,77.05,58.07,2.98,3.24,11.11,81.48,51.85,22.22,12.35,6.17,1.23,4.94,0.00,0.00,9.88,6.17,9.88,13.58,2.47,1.23,0.00,20.99,1.23,1.23,8.64,0.00,0.00,2.47,0.00,2.47,0.00,1.23,1.23,8.64,0.00,1.23,0.00,0.00,1.23,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.88,2.47,1.23,3.70,0.00,2.47,0.00,17.28,1.23,16.05,3.70,7.41,4.94,1.23,2.47,3.70,0.00,2.47,0.00,12.35,1.23,1.23,2.47,3.70,3.70,51.85,7.41,11.11,0.00,0.00,11.11,14.81,2.47,0.00,4.94,0.00,0.00
rick-64.csv.txt,1,216,33.66,74.17,51.98,42.58,6.75,10.19,88.43,57.87,21.30,15.74,6.48,2.78,3.70,2.78,0.00,5.56,5.09,15.28,12.04,7.87,3.24,2.78,23.61,4.17,2.31,1.85,1.39,0.93,4.63,2.78,1.85,0.93,0.93,0.00,12.50,0.93,0.00,0.00,3.24,12.50,2.78,2.78,2.78,2.78,0.00,2.78,0.93,0.46,0.00,0.00,1.85,0.00,1.39,0.00,0.00,9.26,3.70,1.39,2.78,1.39,0.00,1.39,19.91,1.85,14.81,4.17,7.87,2.78,0.46,0.46,0.93,0.00,0.93,0.00,6.02,0.46,0.93,0.46,4.17,0.00,37.04,10.19,7.87,0.00,0.00,1.85,6.94,1.39,0.00,8.80,0.00,0.00
rick-105.csv.txt,1,165,35.74,95.49,11.97,1.00,4.71,7.88,90.91,49.70,20.00,14.55,2.42,1.21,7.27,1.21,2.42,5.45,7.27,9.70,10.30,4.24,6.06,2.42,18.18,6.06,2.42,3.64,1.21,0.61,8.48,2.42,6.06,1.82,3.64,0.00,19.39,0.61,0.61,0.00,3.03,10.91,3.64,1.82,1.21,0.61,0.61,3.64,1.82,0.61,0.61,0.61,0.61,0.61,0.00,0.00,0.00,7.88,1.82,1.21,1.82,1.82,1.82,3.64,15.15,0.61,6.67,4.24,1.82,1.82,1.21,0.61,0.00,0.00,0.61,1.21,13.94,2.42,0.00,0.61,7.27,1.21,38.18,10.91,8.48,0.00,0.00,1.82,10.30,0.00,0.00,6.67,0.00,0.00
rick-115.csv.txt,1,131,1.62,93.64,5.59,7.88,4.23,11.45,85.50,64.12,33.59,26.72,6.87,3.05,6.87,9.92,0.00,6.87,5.34,7.63,16.79,5.34,2.29,6.11,25.95,1.53,0.00,6.11,0.76,0.00,4.58,1.53,3.05,1.53,0.76,0.76,22.14,0.00,0.00,0.00,9.92,6.87,0.76,1.53,0.76,0.76,0.00,3.05,0.00,0.00,0.00,0.00,0.76,0.00,0.76,0.00,0.00,10.69,3.05,1.53,3.82,3.05,0.00,2.29,20.61,2.29,11.45,3.82,6.87,2.29,0.76,0.00,0.00,0.00,0.00,0.00,3.05,0.76,0.00,0.00,2.29,0.00,42.75,10.69,6.11,0.00,0.00,6.11,6.87,1.53,0.00,11.45,0.00,0.00
rick-167.csv.txt,1,110,3.01,93.88,6.31,5.95,4.23,5.45,91.82,54.55,33.64,23.64,6.36,2.73,10.91,3.64,0.00,10.00,1.82,5.45,12.73,3.64,0.91,3.64,24.55,5.45,0.91,3.64,1.82,0.00,14.55,6.36,8.18,0.00,6.36,1.82,20.00,0.00,0.91,0.00,5.45,9.09,0.91,1.82,2.73,2.73,0.00,4.55,0.00,0.00,0.00,0.00,2.73,0.91,0.00,1.82,0.00,9.09,2.73,1.82,2.73,2.73,0.00,5.45,16.36,2.73,6.36,1.82,4.55,0.00,0.91,0.00,0.00,0.00,1.82,0.91,15.45,3.64,0.00,3.64,5.45,2.73,40.91,7.27,10.00,0.00,0.00,2.73,13.64,0.00,0.00,7.27,0.00,0.00
rick-177.csv.txt,1,149,19.71,84.30,44.27,4.89,4.97,8.05,89.93,55.70,20.13,11.41,2.68,5.37,3.36,0.00,0.00,8.72,6.71,8.05,14.09,3.36,4.70,5.37,23.49,3.36,1.34,1.34,0.67,0.67,4.70,1.34,3.36,0.00,2.01,0.00,13.42,2.68,1.34,0.67,3.36,10.74,3.36,1.34,2.68,0.00,0.67,2.68,4.70,0.67,0.00,2.68,1.34,1.34,0.00,0.00,0.00,13.42,6.04,0.00,4.03,1.34,2.01,2.68,17.45,2.01,14.09,2.68,6.71,4.70,0.67,0.67,0.67,0.00,1.34,0.00,3.36,1.34,0.67,1.34,0.67,0.00,34.90,9.40,6.04,0.00,0.00,1.34,10.74,0.67,0.00,6.71,0.00,0.00
rick-16.csv.txt,1,207,31.91,91.94,42.12,25.77,5.05,10.14,86.96,53.62,25.60,16.91,5.80,0.97,8.21,1.93,0.00,8.70,8.21,9.18,13.53,3.38,0.97,1.45,24.15,3.38,1.45,2.90,0.48,2.42,4.83,2.42,2.42,0.00,1.45,0.48,14.98,0.97,0.48,0.00,2.42,10.14,3.38,0.48,0.48,1.45,2.90,1.93,2.42,0.48,0.00,1.45,1.45,0.48,0.48,0.48,0.00,6.76,1.93,0.48,1.93,2.90,0.00,4.35,20.29,1.93,11.11,2.90,5.80,2.42,0.97,0.48,0.48,0.00,0.00,0.00,9.66,0.97,0.97,1.93,4.83,1.45,40.10,12.08,8.21,0.00,0.00,1.93,6.76,0.97,0.00,10.14,0.00,0.00
